VendorNumber,VendorName,Brand,Purchaseprice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreighhtCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,4261,16.17,1750.0,22.99,29369.0,474896.7299999999,4181.0,91940.19000000015,10929.029999999913,7682.260000000017,257032.07000000007,-382956.5399999998,-80.63996145014515,0.14236099288365284,0.19360038549854863
1128,BROWN-FORMAN CORP,1233,26.27,1750.0,36.99,14831.0,389610.36999999895,1912.0,68812.88000000008,16447.429999999917,3512.8800000000165,68601.68000000001,-320797.4899999989,-82.33802657768061,0.12891915582226418,0.17661973422319396
3960,DIAGEO NORTH AMERICA INC,3545,21.89,1750.0,29.99,16589.0,363133.2100000006,2175.0,65514.250000000044,12583.829999999925,3996.290000000013,257032.07000000007,-297618.96000000054,-81.95861788570647,0.13111097715353548,0.18041382114293522
4425,MARTIGNETTI COMPANIES,3405,23.19,1750.0,28.99,14584.0,338202.9600000021,1567.0,46994.33000000004,12445.849999999926,2879.0200000000054,144929.24,-291208.6300000021,-86.10469583116608,0.10744651673066374,0.13895304168833927
480,BACARDI USA INC,3858,17.77,750.0,23.99,15989.0,284124.53,1874.0,44957.26000000007,10387.669999999925,1475.469999999997,89286.26999999999,-239167.26999999996,-84.17691707224292,0.11720557883544937,0.15823082927757087
480,BACARDI USA INC,4227,14.17,1750.0,17.99,19917.0,282223.89000000025,2265.0,40747.350000000064,7447.859999999935,4161.590000000023,89286.26999999999,-241476.54000000018,-85.56204791876407,0.1137219460762163,0.14437952081235939
3960,DIAGEO NORTH AMERICA INC,3102,12.94,1750.0,17.99,21332.0,276036.0800000011,1231.0,22145.689999999973,5522.929999999958,2261.73,257032.07000000007,-253890.39000000115,-91.97724804670466,0.05770673167072942,0.08022751953295339
17035,PERNOD RICARD USA,8068,18.24,1750.0,24.99,13269.0,242026.5600000002,2268.0,58645.320000000094,12059.339999999916,4167.040000000023,123780.21999999997,-183381.2400000001,-75.76905609037287,0.1709247117341171,0.24230943909627128
12546,JIM BEAM BRANDS COMPANY,2120,12.21,1750.0,16.99,15547.0,189828.8700000001,1890.0,30221.10000000007,7835.099999999922,3472.4300000000194,123880.96999999999,-159607.77000000005,-84.07981883893633,0.12156686177397569,0.15920181161063673
17035,PERNOD RICARD USA,2589,30.76,1750.0,39.99,5707.0,175547.31999999954,942.0,38894.580000000096,13118.859999999942,1730.8499999999963,123780.21999999997,-136652.73999999944,-77.84382011642205,0.1650604520763974,0.22156179883577942
17035,PERNOD RICARD USA,2585,16.42,750.0,22.99,10396.0,170702.31999999945,1388.0,33085.120000000075,9945.83999999993,1092.779999999999,123780.21999999997,-137617.19999999937,-80.618236471537,0.13351288957291266,0.1938176352846299
12546,JIM BEAM BRANDS COMPANY,1476,16.05,1750.0,21.99,10249.0,164496.44999999992,929.0,20428.71,6640.979999999955,1706.8199999999981,123880.96999999999,-144067.73999999993,-87.58106329954232,0.09064298955995707,0.12418936700457675
8004,SAZERAC CO INC,5138,11.1,750.0,13.99,14790.0,164169.0000000003,1614.0,22579.86000000007,6141.609999999938,1270.6499999999974,50293.62000000002,-141589.14000000022,-86.24596604718306,0.10912778904665314,0.13754033952816933
7245,PROXIMO SPIRITS INC.,3802,13.43,1750.0,18.99,11197.0,150375.70999999938,1613.0,29091.870000000014,7876.63999999993,2963.510000000007,38994.78000000001,-121283.83999999937,-80.65387687945072,0.14405644369027418,0.19346123120549277
12546,JIM BEAM BRANDS COMPANY,3512,11.76,1750.0,16.99,12479.0,146753.0399999997,1504.0,25425.960000000003,7282.689999999933,2763.2200000000075,123880.96999999999,-121327.07999999968,-82.67432143143334,0.12052247776264123,0.1732567856856666
3960,DIAGEO NORTH AMERICA INC,2757,22.38,1750.0,29.99,6412.0,143500.5599999995,1024.0,30709.76000000009,9956.679999999944,1881.459999999996,257032.07000000007,-112790.7999999994,-78.59955389721112,0.15970056144728634,0.21400446102788864
3960,DIAGEO NORTH AMERICA INC,8512,14.72,750.0,19.99,9696.0,142725.11999999982,1144.0,22690.560000000016,8428.759999999931,900.5900000000004,257032.07000000007,-120034.55999999981,-84.10191562634522,0.11798679867986799,0.1589808437365479
9165,ULTRA BEVERAGE COMPANY LLP,3650,33.81,750.0,48.99,4122.0,139364.82000000024,521.0,25988.790000000048,11672.659999999958,410.34000000000054,68054.70000000003,-113376.03000000019,-81.35197247052734,0.12639495390587094,0.1864802752947265
3960,DIAGEO NORTH AMERICA INC,3489,20.73,1750.0,27.99,6667.0,138206.91000000006,749.0,25423.51000000005,11651.57999999994,1376.1399999999978,257032.07000000007,-112783.40000000001,-81.6047475484402,0.11234438278086095,0.18395252451559793
8112,MOET HENNESSY USA INC,6654,27.2,750.0,39.99,4697.0,127758.3999999999,218.0,9557.819999999985,3939.109999999991,24.309999999999967,48347.26,-118200.57999999993,-92.51883242119501,0.04641260378965297,0.07481167578804988
12546,JIM BEAM BRANDS COMPANY,1385,20.45,750.0,26.99,6041.0,123538.44999999972,699.0,18866.010000000024,9257.569999999943,550.4500000000013,123880.96999999999,-104672.4399999997,-84.72863306929942,0.11570931964906472,0.15271366930700578
7245,PROXIMO SPIRITS INC.,8159,19.69,1750.0,25.99,5913.0,116426.96999999986,929.0,24144.710000000057,9252.43999999994,1706.799999999998,38994.78000000001,-92282.2599999998,-79.26192702601462,0.15711144934889226,0.20738072973985397
17035,PERNOD RICARD USA,5364,23.07,1750.0,29.99,4965.0,114542.54999999994,839.0,26639.610000000055,11974.229999999932,1541.389999999997,123780.21999999997,-87902.93999999989,-76.74260787803303,0.1689828801611279,0.2325739212196696
8112,MOET HENNESSY USA INC,42188,34.01,750.0,52.99,3342.0,113661.41999999995,147.0,8033.529999999997,1509.72,16.47,48347.26,-105627.88999999996,-92.93205205425025,0.04398563734290844,0.07067947945749754
1128,BROWN-FORMAN CORP,1232,15.93,750.0,22.99,6648.0,105902.64000000032,1034.0,23947.660000000025,9552.88999999993,814.0600000000004,68601.68000000001,-81954.9800000003,-77.38709818754288,0.1555354993983153,0.22612901812457134
1128,BROWN-FORMAN CORP,5299,15.26,1750.0,21.99,6808.0,103890.07999999993,504.0,11922.959999999945,6105.419999999964,926.0400000000005,68601.68000000001,-91967.11999999998,-88.52348559169465,0.07403055229142186,0.11476514408305348
4425,MARTIGNETTI COMPANIES,3505,13.76,750.0,18.99,7448.0,102484.48000000016,634.0,13668.659999999949,6150.14999999996,499.1800000000013,144929.24,-88815.82000000021,-86.66270248919649,0.08512352309344791,0.13337297510803517
3252,E & J GALLO WINERY,3180,10.94,1750.0,16.99,9115.0,99718.0999999997,1460.0,21947.400000000034,5980.0399999999445,2682.4300000000103,61966.909999999996,-77770.69999999966,-77.99055537560372,0.16017553483269337,0.22009444624396274
3960,DIAGEO NORTH AMERICA INC,8680,28.88,1750.0,39.99,3403.0,98278.63999999982,779.0,31076.210000000123,14440.379999999934,1431.359999999995,257032.07000000007,-67202.4299999997,-68.37948713982999,0.2289156626506024,0.3162051286017
